Entity,Year,Code,Male (males suffering from depression),Female (females suffering from depression),Male Population,Female Population,Percentage of Male Suffering from Depression,Percentage of Female Suffering from Depression
Afghanistan,1990,AFG,165213.8855,204727.2022,6267968,5981147,2.64%,3.42%
Afghanistan,1991,AFG,175298.0183,215918.4004,6666302,6327357,2.63%,3.41%
Afghanistan,1992,AFG,189236.979,231769.7092,7195464,6785758,2.63%,3.42%
Afghanistan,1993,AFG,205009.7245,248634.3124,7791067,7304033,2.63%,3.40%
Afghanistan,1994,AFG,219948.1325,265834.1836,8363387,7809326,2.63%,3.40%
Afghanistan,1995,AFG,233815.1991,281294.8759,8849356,8250185,2.64%,3.41%
Afghanistan,1996,AFG,242547.1935,291849.4574,9219569,8603315,2.63%,3.39%
Afghanistan,1997,AFG,248783.4081,300177.7531,9495935,8885663,2.62%,3.38%
Afghanistan,1998,AFG,254698.6213,307776.4225,9729042,9134964,2.62%,3.37%
Afghanistan,1999,AFG,260994.1616,315673.0805,9995068,9408617,2.61%,3.36%
Afghanistan,2000,AFG,269776.8567,326929.3364,10346992,9746775,2.61%,3.35%
Afghanistan,2001,AFG,280887.2969,338592.905,10803961,10162498,2.60%,3.33%
Afghanistan,2002,AFG,295112.6445,353468.0022,11342077,10637846,2.60%,3.32%
Afghanistan,2003,AFG,310237.8691,369394.2534,11919888,11144964,2.60%,3.31%
Afghanistan,2004,AFG,326053.0844,386538.0713,12476435,11642549,2.61%,3.32%
Afghanistan,2005,AFG,340397.1809,402976.5227,12969246,12101550,2.62%,3.33%
Afghanistan,2006,AFG,350631.0516,416077.3587,13381929,12511526,2.62%,3.33%
Afghanistan,2007,AFG,359715.5487,427838.4718,13732620,12884169,2.62%,3.32%
Afghanistan,2008,AFG,367989.5608,440248.1223,14054877,13239160,2.62%,3.33%
Afghanistan,2009,AFG,377139.2245,452993.7093,14398314,13606015,2.62%,3.33%
Afghanistan,2010,AFG,390171.6853,467960.7123,14797692,14005472,2.64%,3.34%
Afghanistan,2011,AFG,404690.1457,485034.403,15264600,14444003,2.65%,3.36%
Afghanistan,2012,AFG,421575.7906,504667.8963,15784300,14912657,2.67%,3.38%
Afghanistan,2013,AFG,440550.305,525689.5364,16333415,15398279,2.70%,3.41%
Afghanistan,2014,AFG,460773.5611,547919.738,16876929,15881092,2.73%,3.45%
Afghanistan,2015,AFG,480399.6741,569220.1235,17389625,16346869,2.76%,3.48%
Afghanistan,2016,AFG,499020.5336,592200.6184,17864420,16791607,2.79%,3.53%
Albania,1990,ALB,24828.75753,39193.26373,1680637,1600815,1.48%,2.45%
Albania,1991,ALB,24575.04893,39508.96542,1666384,1609049,1.47%,2.46%
Albania,1992,ALB,24211.69576,39676.29739,1633170,1607420,1.48%,2.47%
Albania,1993,ALB,23661.27891,39714.22452,1590710,1598871,1.49%,2.48%
Albania,1994,ALB,23109.20687,39835.97815,1552811,1587788,1.49%,2.51%
Albania,1995,ALB,22880.13989,39909.98402,1529234,1577485,1.50%,2.53%
Albania,1996,ALB,23044.80234,40053.69337,1523594,1568635,1.51%,2.55%
Albania,1997,ALB,23522.47124,40086.72795,1532428,1560605,1.53%,2.57%
Albania,1998,ALB,24177.62789,40328.71102,1549958,1553796,1.56%,2.60%
Albania,1999,ALB,24869.31458,40550.25845,1567205,1548374,1.59%,2.62%
Albania,2000,ALB,25326.97937,40919.41962,1577626,1544339,1.61%,2.65%
Albania,2001,ALB,25727.1147,41415.26448,1579954,1542448,1.63%,2.69%
Albania,2002,ALB,25946.77119,41987.6748,1576390,1542645,1.65%,2.72%
Albania,2003,ALB,26187.66163,42729.86565,1567933,1543078,1.67%,2.77%
Albania,2004,ALB,26411.07252,43253.63325,1556586,1541164,1.70%,2.81%
Albania,2005,ALB,26551.30802,43898.26502,1544008,1535172,1.72%,2.86%
Albania,2006,ALB,26596.86135,44135.73505,1529967,1524365,1.74%,2.90%
Albania,2007,ALB,26583.13793,44086.33959,1514262,1509651,1.76%,2.92%
Albania,2008,ALB,26521.36661,44128.58334,1498574,1493068,1.77%,2.96%
Albania,2009,ALB,26532.42864,44231.95067,1485117,1477519,1.79%,2.99%
Albania,2010,ALB,26500.94181,44542.21006,1475395,1465122,1.80%,3.04%
Albania,2011,ALB,26496.64874,44942.4925,1470170,1456503,1.80%,3.09%
Albania,2012,ALB,26584.97505,45442.97209,1468988,1451041,1.81%,3.13%
Albania,2013,ALB,26600.61355,46119.73573,1470680,1448292,1.81%,3.18%
Albania,2014,ALB,26712.31953,46770.82854,1473430,1447346,1.81%,3.23%
Albania,2015,ALB,26887.23013,47501.68795,1475867,1447487,1.82%,3.28%
Albania,2016,ALB,26928.18062,47911.98911,1477663,1448683,1.82%,3.31%
Algeria,1990,DZA,320047.2498,443933.8994,13117245,12795124,2.44%,3.47%
Algeria,1991,DZA,329201.2661,456130.51,13445733,13108599,2.45%,3.48%
Algeria,1992,DZA,339207.5103,469592.4653,13764643,13416458,2.46%,3.50%
Algeria,1993,DZA,348088.8467,484105.9697,14071495,13714759,2.47%,3.53%
Algeria,1994,DZA,359100.6495,499853.8711,14363650,13998607,2.50%,3.57%
Algeria,1995,DZA,370099.9022,514869.0678,14639457,14264840,2.53%,3.61%
Algeria,1996,DZA,379659.5993,529925.0129,14898762,14512653,2.55%,3.65%
Algeria,1997,DZA,391651.2773,546393.5725,15142747,14744099,2.59%,3.71%
Algeria,1998,DZA,404462.2551,563265.2895,15373099,14962632,2.63%,3.76%
Algeria,1999,DZA,415112.6541,579521.8,15592325,15173281,2.66%,3.82%
Algeria,2000,DZA,428154.5962,598204.7071,15803151,15380506,2.71%,3.89%
Algeria,2001,DZA,438722.7833,614869.1666,16006517,15585631,2.74%,3.95%
Algeria,2002,DZA,449807.7408,632363.1171,16204844,15790192,2.78%,4.00%
Algeria,2003,DZA,461255.1573,649417.5397,16404308,15999197,2.81%,4.06%
Algeria,2004,DZA,471829.6117,666831.8076,16612538,16218559,2.84%,4.11%
Algeria,2005,DZA,482814.0721,684244.7689,16835565,16452871,2.87%,4.16%
Algeria,2006,DZA,490599.4735,698451.3123,17074632,16703283,2.87%,4.18%
Algeria,2007,DZA,496275.5909,710489.068,17330069,16970002,2.86%,4.19%
Algeria,2008,DZA,503141.2339,724705.5838,17605577,17255143,2.86%,4.20%
Algeria,2009,DZA,510434.0594,736402.5679,17905071,17560696,2.85%,4.19%
Algeria,2010,DZA,517537.8433,752138.4484,18230400,17887241,2.84%,4.20%
Algeria,2011,DZA,527469.4318,767467.4936,18583564,18235999,2.84%,4.21%
Algeria,2012,DZA,537667.0482,783458.4486,18961440,18604407,2.84%,4.21%
Algeria,2013,DZA,548012.5418,801713.2873,19354168,18984383,2.83%,4.22%
Algeria,2014,DZA,560923.2837,817988.5052,19748270,19365040,2.84%,4.22%
Algeria,2015,DZA,572312.3923,836563.7573,20133472,19738059,2.84%,4.24%
Algeria,2016,DZA,584048.8184,854721.4894,20505902,20100149,2.85%,4.25%
American Samoa,1990,ASM,484.8345215,617.5528353,23519,23519,2.06%,2.63%
American Samoa,1991,ASM,495.6513792,630.2667675,24187.5,24187.5,2.05%,2.61%
American Samoa,1992,ASM,504.4788323,642.5292139,24796.5,24796.5,2.03%,2.59%
American Samoa,1993,ASM,514.8710733,656.4501471,25360,25360,2.03%,2.59%
American Samoa,1994,ASM,524.7594778,670.988655,25901.5,25901.5,2.03%,2.59%
American Samoa,1995,ASM,536.3613999,686.2622151,26434,26434,2.03%,2.60%
American Samoa,1996,ASM,546.0857766,702.0595762,26964.5,26964.5,2.03%,2.60%
American Samoa,1997,ASM,555.884078,718.1822499,27470.5,27470.5,2.02%,2.61%
American Samoa,1998,ASM,567.6894733,736.3507786,27950.5,27950.5,2.03%,2.63%
American Samoa,1999,ASM,579.2054704,753.1088662,28385,28385,2.04%,2.65%
American Samoa,2000,ASM,590.69914,772.9090526,28760.5,28760.5,2.05%,2.69%
American Samoa,2001,ASM,601.4607346,791.7489805,29087.5,29087.5,2.07%,2.72%
American Samoa,2002,ASM,614.0806257,809.3168194,29365.5,29365.5,2.09%,2.76%
American Samoa,2003,ASM,625.1705138,829.4767441,29558.5,29558.5,2.12%,2.81%
American Samoa,2004,ASM,640.3482404,851.6203054,29632,29632,2.16%,2.87%
American Samoa,2005,ASM,652.5131407,872.6642618,29559,29559,2.21%,2.95%
American Samoa,2006,ASM,667.0357648,895.194983,29325,29325,2.27%,3.05%
American Samoa,2007,ASM,680.3401397,919.3349726,28951.5,28951.5,2.35%,3.18%
American Samoa,2008,ASM,695.6574762,942.2304339,28515,28515,2.44%,3.30%
American Samoa,2009,ASM,710.8387452,967.1726144,28113.5,28113.5,2.53%,3.44%
American Samoa,2010,ASM,726.5631732,995.3491382,27818.5,27818.5,2.61%,3.58%
American Samoa,2011,ASM,741.9675293,1022.317775,27660,27660,2.68%,3.70%
American Samoa,2012,ASM,758.4913996,1054.755607,27615,27615,2.75%,3.82%
American Samoa,2013,ASM,774.979866,1087.025644,27653.5,27653.5,2.80%,3.93%
American Samoa,2014,ASM,792.6242589,1120.299029,27718.5,27718.5,2.86%,4.04%
American Samoa,2015,ASM,812.2258834,1154.065393,27768.5,27768.5,2.92%,4.16%
American Samoa,2016,ASM,831.060243,1189.133223,27799.5,27799.5,2.99%,4.28%
Andean Latin America,1990,NA,347397.5095,534613.1734,NA,NA,NA,NA
Andean Latin America,1991,NA,356335.4986,549670.0622,NA,NA,NA,NA
Andean Latin America,1992,NA,366969.0309,564776.651,NA,NA,NA,NA
Andean Latin America,1993,NA,377368.2516,580719.9124,NA,NA,NA,NA
Andean Latin America,1994,NA,387234.7019,598779.6353,NA,NA,NA,NA
Andean Latin America,1995,NA,398598.4374,616071.4908,NA,NA,NA,NA
Andean Latin America,1996,NA,407635.6853,628890.0887,NA,NA,NA,NA
Andean Latin America,1997,NA,416522.7354,641399.3372,NA,NA,NA,NA
Andean Latin America,1998,NA,425038.8677,654585.4372,NA,NA,NA,NA
Andean Latin America,1999,NA,434922.8756,667913.774,NA,NA,NA,NA
Andean Latin America,2000,NA,444354.8786,681953.5488,NA,NA,NA,NA
Andean Latin America,2001,NA,453436.6149,695298.9078,NA,NA,NA,NA
Andean Latin America,2002,NA,462478.174,708371.701,NA,NA,NA,NA
Andean Latin America,2003,NA,472480.8506,723857.7048,NA,NA,NA,NA
Andean Latin America,2004,NA,482681.5486,738577.0054,NA,NA,NA,NA
Andean Latin America,2005,NA,492684.2619,754085.3183,NA,NA,NA,NA
Andean Latin America,2006,NA,501864.3654,768810.4994,NA,NA,NA,NA
Andean Latin America,2007,NA,510331.704,782405.9344,NA,NA,NA,NA
Andean Latin America,2008,NA,521123.1312,798778.5817,NA,NA,NA,NA
Andean Latin America,2009,NA,530699.6806,812921.2372,NA,NA,NA,NA
Andean Latin America,2010,NA,541274.3094,830779.6735,NA,NA,NA,NA
Andean Latin America,2011,NA,553640.9298,846425.7223,NA,NA,NA,NA
