Entity,Code,Year,"Health expenditure, public (% of GDP) (% of GDP)","Health expenditure, private (% of GDP) (% of GDP)"
Afghanistan,AFG,2002,0.55072335,7.21234981
Afghanistan,AFG,2003,0.607900411,8.208153019
Afghanistan,AFG,2004,0.969458795,7.817248425
Afghanistan,AFG,2005,0.801919175,7.266185175
Afghanistan,AFG,2006,1.062420033,6.371551517
Afghanistan,AFG,2007,0.522136074,6.206180276
Afghanistan,AFG,2008,1.38558405,6.94250929
Afghanistan,AFG,2009,2.586126777,6.832843863
Afghanistan,AFG,2010,2.855376503,6.342346227
Afghanistan,AFG,2011,2.08009266,5.79189923
Afghanistan,AFG,2012,2.920566007,5.598346673
Afghanistan,AFG,2013,2.650393889,5.484471671
Afghanistan,AFG,2014,2.932833722,5.249440098
Albania,ALB,1995,1.713004455,4.884074575
Albania,ALB,1996,1.746197546,5.685776804
Albania,ALB,1997,2.024509405,5.543590525
Albania,ALB,1998,2.095127757,4.848171453
Albania,ALB,1999,2.510171417,4.358018473
Albania,ALB,2000,2.258417958,3.997566442
Albania,ALB,2001,2.292224019,3.707919871
Albania,ALB,2002,2.256325893,4.043787587
Albania,ALB,2003,2.252104151,4.014903079
Albania,ALB,2004,2.67940487,3.70012982
Albania,ALB,2005,2.706455443,3.409855317
Albania,ALB,2006,2.575136092,3.286160158
Albania,ALB,2007,2.6291711,3.47476415
Albania,ALB,2008,2.69389845,3.17551771
Albania,ALB,2009,2.833575743,2.957763717
Albania,ALB,2010,2.47656803,2.85846698
Albania,ALB,2011,2.84917086,2.8654944
Albania,ALB,2012,2.7357041,2.85346875
Albania,ALB,2013,2.835984236,2.819155244
Albania,ALB,2014,2.936373275,2.946732155
Algeria,DZA,1995,2.673594356,1.027930174
Algeria,DZA,1996,2.50218252,0.84688716
Algeria,DZA,1997,2.553365736,1.041291994
Algeria,DZA,1998,2.527980384,1.066101396
Algeria,DZA,1999,2.383331292,1.050583658
Algeria,DZA,2000,2.55856124,0.9304597
Algeria,DZA,2001,2.97171746,0.8661477
Algeria,DZA,2002,2.85227361,0.87779014
Algeria,DZA,2003,2.802237023,0.798789717
Algeria,DZA,2004,2.566248072,0.977815188
Algeria,DZA,2005,2.280233074,0.954934936
Algeria,DZA,2006,2.334850671,1.020267759
Algeria,DZA,2007,2.705570791,1.115841119
Algeria,DZA,2008,3.062803893,1.139107517
Algeria,DZA,2009,3.83796598,1.52145903
Algeria,DZA,2010,3.593208526,1.523946154
Algeria,DZA,2011,3.775729308,1.517199032
Algeria,DZA,2012,4.52025089,1.62286183
Algeria,DZA,2013,5.188359049,1.936023631
Algeria,DZA,2014,5.24414553,1.96303251
Andorra,AND,1995,3.982683296,1.825316544
Andorra,AND,1996,4.235647223,1.858685987
Andorra,AND,1997,4.297070495,1.847851525
Andorra,AND,1998,5.737580229,2.018345531
Andorra,AND,1999,3.933465639,1.794842601
Andorra,AND,2000,3.976548227,1.804751513
Andorra,AND,2001,3.979763508,1.808983413
Andorra,AND,2002,4.109589041,1.863013699
Andorra,AND,2003,3.946179815,1.798853095
Andorra,AND,2004,3.91626014,1.78762227
Andorra,AND,2005,3.459708849,1.763644291
Andorra,AND,2006,3.566122373,1.747770867
Andorra,AND,2007,4.586322912,1.749132868
Andorra,AND,2008,4.825070819,1.742337781
Andorra,AND,2009,5.037537144,1.722152486
Andorra,AND,2010,6.242026697,1.757239823
Andorra,AND,2011,4.926289306,1.777502184
Andorra,AND,2012,5.747039877,1.800297533
Andorra,AND,2013,9.692356794,1.785689606
Andorra,AND,2014,6.341446004,1.785689606
Angola,AGO,1995,4.659118212,1.799759738
Angola,AGO,1996,1.739781774,1.074950306
Angola,AGO,1997,2.019219441,1.463339859
Angola,AGO,1998,1.414705389,1.920896721
Angola,AGO,1999,2.131797787,1.246046393
Angola,AGO,2000,1.677216464,1.110067196
Angola,AGO,2001,2.812403394,2.572154326
Angola,AGO,2002,1.685217542,1.948703208
Angola,AGO,2003,2.044369358,2.360915062
Angola,AGO,2004,2.407840515,2.299479555
Angola,AGO,2005,2.02464638,2.07931364
Angola,AGO,2006,3.022435345,1.520002145
Angola,AGO,2007,2.213764019,1.169347611
Angola,AGO,2008,2.716334452,1.128599498
Angola,AGO,2009,2.663917207,1.707856573
Angola,AGO,2010,2.061254664,1.329891426
Angola,AGO,2011,2.155094274,1.224488426
Angola,AGO,2012,2.137316503,1.167477717
Angola,AGO,2013,3.080408392,1.182623298
Angola,AGO,2014,2.124912195,1.182070735
Antigua and Barbuda,ATG,1995,2.746344563,1.397268337
Antigua and Barbuda,ATG,1996,2.505800464,1.415169386
Antigua and Barbuda,ATG,1997,2.597402599,1.341904551
Antigua and Barbuda,ATG,1998,2.672064777,1.248142543
Antigua and Barbuda,ATG,1999,2.744200045,1.216846885
Antigua and Barbuda,ATG,2000,2.78780548,1.33724305
Antigua and Barbuda,ATG,2001,2.949759953,1.534630537
Antigua and Barbuda,ATG,2002,2.950231444,1.463555606
Antigua and Barbuda,ATG,2003,2.950013005,1.584327985
Antigua and Barbuda,ATG,2004,2.67979353,1.52719189
Antigua and Barbuda,ATG,2005,2.950098595,1.460001755
Antigua and Barbuda,ATG,2006,2.950105874,1.389915736
Antigua and Barbuda,ATG,2007,2.949999996,1.319723244
Antigua and Barbuda,ATG,2008,3.343031386,1.348982944
Antigua and Barbuda,ATG,2009,3.343899596,1.518162424
Antigua and Barbuda,ATG,2010,3.893547142,1.734967258
Antigua and Barbuda,ATG,2011,3.891039559,1.757489621
Antigua and Barbuda,ATG,2012,3.652332634,1.733605616
Antigua and Barbuda,ATG,2013,3.592597393,1.739630437
Antigua and Barbuda,ATG,2014,3.784610676,1.757072434
Argentina,ARG,1995,4.966443086,3.344549654
Argentina,ARG,1996,4.631641218,3.393352372
Argentina,ARG,1997,4.553044297,3.808317313
Argentina,ARG,1998,4.624211714,3.911713816
Argentina,ARG,1999,5.152315686,4.202833634
Argentina,ARG,2000,4.965803582,4.246953108
Argentina,ARG,2001,5.065933992,4.309956128
Argentina,ARG,2002,4.452940049,3.860989631
Argentina,ARG,2003,4.251023183,3.965039557
Argentina,ARG,2004,3.522396758,3.318164172
Argentina,ARG,2005,3.664233848,3.181385532
Argentina,ARG,2006,3.654868936,3.027001604
Argentina,ARG,2007,3.783074841,2.711509209
Argentina,ARG,2008,4.121097352,2.542621038
Argentina,ARG,2009,5.040785799,2.593972611
Argentina,ARG,2010,4.163482345,2.386673815
Argentina,ARG,2011,3.745392503,2.147350147
Argentina,ARG,2012,2.958950874,2.060097296
Argentina,ARG,2013,2.735022008,2.251850572
Argentina,ARG,2014,2.652673798,2.133242362
Armenia,ARM,1995,1.996272562,4.422463498
Armenia,ARM,1996,1.621148073,4.169609127
Armenia,ARM,1997,1.407496163,4.360092877
Armenia,ARM,1998,1.644913074,4.111258716
Armenia,ARM,1999,1.612414885,4.069375685
Armenia,ARM,2000,1.137531999,5.115951481
Armenia,ARM,2001,1.591474622,4.348941858
Armenia,ARM,2002,1.361332463,4.039086747
Armenia,ARM,2003,1.516570269,4.047310411
Armenia,ARM,2004,1.404450704,4.096730986
Armenia,ARM,2005,1.905053401,3.347063039
Armenia,ARM,2006,2.052882053,2.524868667
Armenia,ARM,2007,2.099284998,2.209545822
Armenia,ARM,2008,1.764770313,2.034552667
Armenia,ARM,2009,2.010005376,2.535318034
Armenia,ARM,2010,1.922714063,2.639548957
Armenia,ARM,2011,1.938903536,1.774637434
Armenia,ARM,2012,1.875681541,2.606476709
Armenia,ARM,2013,1.946690997,2.603535793
Armenia,ARM,2014,1.925675667,2.554473753
Australia,AUS,1995,4.775232585,2.484502645
Australia,AUS,1996,4.856308024,2.586739386
Australia,AUS,1997,5.016476282,2.482751708
Australia,AUS,1998,5.084647809,2.578054331
Australia,AUS,1999,5.326927409,2.462831561
Australia,AUS,2000,5.399511666,2.678633484
Australia,AUS,2001,5.42099866,2.757680043
Australia,AUS,2002,5.620660145,2.769778185
Australia,AUS,2003,5.50612734,2.81232385
Australia,AUS,2004,5.724898889,2.849421651
Australia,AUS,2005,5.661448484,2.792444146
Australia,AUS,2006,5.660886591,2.830303359
Australia,AUS,2007,5.765876395,2.764754097
Australia,AUS,2008,5.927631008,2.855865054
Australia,AUS,2009,6.186556011,2.859499949
Australia,AUS,2010,6.127334253,2.887937657
Australia,AUS,2011,6.315378278,2.883968272
Australia,AUS,2012,6.285633269,3.071751871
Australia,AUS,2013,6.274917139,3.088821341
Australia,AUS,2014,6.316592658,3.105707582
Austria,AUT,1995,7.137100143,2.409924127
Austria,AUT,1996,7.096256981,2.431043569
Austria,AUT,1997,7.356728588,2.468487367
Austria,AUT,1998,7.478719544,2.518714426
Austria,AUT,1999,7.648251788,2.539335532
Austria,AUT,2000,7.536366526,2.528200742
Austria,AUT,2001,7.503314227,2.615721783
Austria,AUT,2002,7.606508348,2.663524922
Austria,AUT,2003,7.736479762,2.743860203
Austria,AUT,2004,7.791336459,2.768546081
Austria,AUT,2005,7.83141883,2.699996291
Austria,AUT,2006,7.737932786,2.613614944
Austria,AUT,2007,7.775802592,2.625474328
Austria,AUT,2008,7.995856889,2.608073056
Austria,AUT,2009,8.466129609,2.728307701
Austria,AUT,2010,8.400006947,2.765241213
Austria,AUT,2011,8.213674723,2.721898347
Austria,AUT,2012,8.417189562,2.751030248
Austria,AUT,2013,8.370613437,2.767175962
Austria,AUT,2014,8.72502572,2.48044756
Azerbaijan,AZE,1995,1.391752578,4.400123432
Azerbaijan,AZE,1996,1.485547019,4.638366891
Azerbaijan,AZE,1997,1.228625713,4.223350257
Azerbaijan,AZE,1998,0.903807033,4.530853007
Azerbaijan,AZE,1999,0.985430464,4.371714006
Azerbaijan,AZE,2000,0.866892751,3.803920259
Azerbaijan,AZE,2001,0.84650113,3.63593984
Azerbaijan,AZE,2002,0.791817883,3.675287697
Azerbaijan,AZE,2003,0.82967797,5.73361007
Azerbaijan,AZE,2004,1.028670036,6.895873914
Azerbaijan,AZE,2005,0.880905375,6.983002725
Azerbaijan,AZE,2006,0.86418436,5.30388323
